run_ts_utc,experiment_name,train_cut,test_cut,test_end,model,logloss,accuracy,macro_f1,home_recall,draw_recall,away_recall,home_precision,draw_precision,away_precision,bets,hit_rate,roi,profit,avg_odds,winner_logloss,winner_roi
2026-04-13T17:48:27.076205+00:00,baseline_xgboost_v3_formpoints,2024-07-01,2025-07-01,,base,0.99199,0.522929,,,,,,,,1048,32.2519,-3.5706,-0.8911,3.6958,0,0
2026-04-13T17:48:27.076205+00:00,baseline_xgboost_v3_formpoints,2024-07-01,2025-07-01,,market,0.97051,0.54068,,,,,,,,0,0.0,0.0,0.0,0.0,1,1
2026-04-13T17:48:27.076205+00:00,baseline_xgboost_v3_formpoints,2024-07-01,2025-07-01,,meta,0.978727,0.535503,,,,,,,,959,29.8227,-0.1016,-0.0167,3.852,0,0
2026-04-13T17:48:27.076205+00:00,baseline_xgboost_v3_formpoints,2024-07-01,2025-07-01,,mlp,0.980517,0.54216,,,,,,,,1077,27.1123,-0.9652,-0.1733,4.2192,0,0
2026-04-13T17:48:27.076205+00:00,baseline_xgboost_v3_formpoints,2024-07-01,2025-07-01,,ensemble,0.972518,0.54068,,,,,,,,539,23.9332,-3.4827,-0.1538,4.6823,0,0
2026-04-13T17:52:29.623641+00:00,baseline_xgboost_v3_formpoints,2024-07-01,2025-07-01,,base,0.99199,0.522929,,,,,,,,1048,32.2519,-3.5706,-0.8911,3.6958,0,0
2026-04-13T17:52:29.623641+00:00,baseline_xgboost_v3_formpoints,2024-07-01,2025-07-01,,market,0.97051,0.54068,,,,,,,,0,0.0,0.0,0.0,0.0,1,0
2026-04-13T17:52:29.623641+00:00,baseline_xgboost_v3_formpoints,2024-07-01,2025-07-01,,meta,0.978727,0.535503,,,,,,,,959,29.8227,-0.1016,-0.0167,3.852,0,0
2026-04-13T17:52:29.623641+00:00,baseline_xgboost_v3_formpoints,2024-07-01,2025-07-01,,mlp,0.979418,0.54216,,,,,,,,1076,30.3903,0.596,0.1164,3.9563,0,1
2026-04-13T17:52:29.623641+00:00,baseline_xgboost_v3_formpoints,2024-07-01,2025-07-01,,ensemble,0.972114,0.539941,,,,,,,,510,25.8824,-0.5346,-0.0242,4.4312,0,0
2026-04-13T17:54:47.718626+00:00,baseline_xgboost_v3_formpoints,2024-07-01,2025-07-01,,base,0.99199,0.522929,,,,,,,,1048,32.2519,-3.5706,-0.8911,3.6958,0,0
2026-04-13T17:54:47.718626+00:00,baseline_xgboost_v3_formpoints,2024-07-01,2025-07-01,,market,0.97051,0.54068,,,,,,,,0,0.0,0.0,0.0,0.0,1,0
2026-04-13T17:54:47.718626+00:00,baseline_xgboost_v3_formpoints,2024-07-01,2025-07-01,,meta,0.978727,0.535503,,,,,,,,959,29.8227,-0.1016,-0.0167,3.852,0,0
2026-04-13T17:54:47.718626+00:00,baseline_xgboost_v3_formpoints,2024-07-01,2025-07-01,,mlp,0.979418,0.54216,,,,,,,,1076,30.3903,0.596,0.1164,3.9563,0,1
2026-04-13T17:54:47.718626+00:00,baseline_xgboost_v3_formpoints,2024-07-01,2025-07-01,,ensemble,0.971235,0.54142,,,,,,,,129,22.4806,-12.9968,-0.1127,4.9085,0,0
2026-04-13T17:56:28.618321+00:00,baseline_xgboost_v3_formpoints,2024-07-01,2025-07-01,,base,0.99199,0.522929,,,,,,,,1048,32.2519,-3.5706,-0.8911,3.6958,0,0
2026-04-13T17:56:28.618321+00:00,baseline_xgboost_v3_formpoints,2024-07-01,2025-07-01,,market,0.97051,0.54068,,,,,,,,0,0.0,0.0,0.0,0.0,1,0
2026-04-13T17:56:28.618321+00:00,baseline_xgboost_v3_formpoints,2024-07-01,2025-07-01,,meta,0.978727,0.535503,,,,,,,,959,29.8227,-0.1016,-0.0167,3.852,0,0
2026-04-13T17:56:28.618321+00:00,baseline_xgboost_v3_formpoints,2024-07-01,2025-07-01,,mlp,0.979418,0.54216,,,,,,,,1076,30.3903,0.596,0.1164,3.9563,0,1
2026-04-13T17:56:28.618321+00:00,baseline_xgboost_v3_formpoints,2024-07-01,2025-07-01,,ensemble,0.971235,0.54142,,,,,,,,129,22.4806,-12.9968,-0.1127,4.9085,0,0
2026-04-26T15:03:51.695604+00:00,baseline_xgboost_v3_formpoints,2024-07-01,2025-07-01,,base,0.99199,0.522929,,,,,,,,1048,32.2519,-3.5706,-0.8911,3.6958,0,0
2026-04-26T15:03:51.695604+00:00,baseline_xgboost_v3_formpoints,2024-07-01,2025-07-01,,market,0.97051,0.54068,,,,,,,,0,0.0,0.0,0.0,0.0,1,0
2026-04-26T15:03:51.695604+00:00,baseline_xgboost_v3_formpoints,2024-07-01,2025-07-01,,meta,0.978727,0.535503,,,,,,,,959,29.8227,-0.1016,-0.0167,3.852,0,0
2026-04-26T15:03:51.695604+00:00,baseline_xgboost_v3_formpoints,2024-07-01,2025-07-01,,mlp,0.979418,0.54216,,,,,,,,1076,30.3903,0.596,0.1164,3.9563,0,1
2026-04-26T15:03:51.695604+00:00,baseline_xgboost_v3_formpoints,2024-07-01,2025-07-01,,ensemble,0.971235,0.54142,,,,,,,,129,22.4806,-12.9968,-0.1127,4.9085,0,0
2026-04-26T17:51:41.949124+00:00,baseline_xgboost_v3_formpoints,2024-07-01,2025-07-01,,base,0.993119,0.519231,,,,,,,,1015,26.8966,-8.8816,-1.8562,4.142,0,0
2026-04-26T17:51:41.949124+00:00,baseline_xgboost_v3_formpoints,2024-07-01,2025-07-01,,market,0.97051,0.54068,,,,,,,,0,0.0,0.0,0.0,0.0,1,0
2026-04-26T17:51:41.949124+00:00,baseline_xgboost_v3_formpoints,2024-07-01,2025-07-01,,meta,0.979956,0.536243,,,,,,,,984,27.439,-0.5755,-0.0911,4.0557,0,0
2026-04-26T17:51:41.949124+00:00,baseline_xgboost_v3_formpoints,2024-07-01,2025-07-01,,mlp,0.976796,0.528107,,,,,,,,1077,27.2981,4.0995,0.7101,4.2402,0,1
2026-04-26T17:51:41.949124+00:00,baseline_xgboost_v3_formpoints,2024-07-01,2025-07-01,,ensemble,0.97051,0.54068,,,,,,,,0,0.0,0.0,0.0,0.0,0,0
2026-04-26T21:30:23.190296+00:00,baseline_xgboost_v3_formpoints,2024-07-01,2025-07-01,,base,0.993119,0.519231,,,,,,,,1015,26.8966,-8.8816,-1.8562,4.142,0,0
2026-04-26T21:30:23.190296+00:00,baseline_xgboost_v3_formpoints,2024-07-01,2025-07-01,,market,0.97051,0.54068,,,,,,,,0,0.0,0.0,0.0,0.0,1,0
2026-04-26T21:30:23.190296+00:00,baseline_xgboost_v3_formpoints,2024-07-01,2025-07-01,,meta,0.980271,0.538462,,,,,,,,985,26.802,-0.6905,-0.1067,4.1534,0,0
2026-04-26T21:30:23.190296+00:00,baseline_xgboost_v3_formpoints,2024-07-01,2025-07-01,,mlp,1.002008,0.517751,,,,,,,,1089,25.4362,0.9719,0.2367,4.2463,0,1
2026-04-26T21:30:23.190296+00:00,baseline_xgboost_v3_formpoints,2024-07-01,2025-07-01,,ensemble,0.971121,0.539941,,,,,,,,88,18.1818,-0.1345,-0.0004,5.8435,0,0
2026-04-27T10:27:29.097492+00:00,baseline_xgboost_v3_formpoints,2024-07-01,2025-07-01,,base,0.993119,0.519231,,,,,,,,1015,26.8966,-8.8816,-1.8562,4.142,0,0
2026-04-27T10:27:29.097492+00:00,baseline_xgboost_v3_formpoints,2024-07-01,2025-07-01,,market,0.97051,0.54068,,,,,,,,0,0.0,0.0,0.0,0.0,1,0
2026-04-27T10:27:29.097492+00:00,baseline_xgboost_v3_formpoints,2024-07-01,2025-07-01,,meta,0.979443,0.534763,,,,,,,,996,29.4177,1.5453,0.2723,3.8408,0,0
2026-04-27T10:27:29.097492+00:00,baseline_xgboost_v3_formpoints,2024-07-01,2025-07-01,,logreg,0.972967,0.535503,,,,,,,,878,32.6879,2.4013,0.2329,3.7428,0,0
2026-04-27T10:27:29.097492+00:00,baseline_xgboost_v3_formpoints,2024-07-01,2025-07-01,,mlp,0.976431,0.524408,,,,,,,,1117,27.8424,7.209,1.4128,4.0832,0,1
2026-04-27T10:27:29.097492+00:00,baseline_xgboost_v3_formpoints,2024-07-01,2025-07-01,,ensemble,0.97051,0.54068,,,,,,,,0,0.0,0.0,0.0,0.0,0,0
2026-04-27T10:48:46.990190+00:00,baseline_xgboost_v3_formpoints,2024-07-01,2025-07-01,,base,0.993119,0.519231,,,,,,,,1015,26.8966,-8.8816,-1.8562,4.142,0,0
2026-04-27T10:48:46.990190+00:00,baseline_xgboost_v3_formpoints,2024-07-01,2025-07-01,,market,0.97051,0.54068,,,,,,,,0,0.0,0.0,0.0,0.0,1,0
2026-04-27T10:48:46.990190+00:00,baseline_xgboost_v3_formpoints,2024-07-01,2025-07-01,,meta,0.978331,0.530325,,,,,,,,1032,28.9729,-4.4365,-0.8117,3.8335,0,0
2026-04-27T10:48:46.990190+00:00,baseline_xgboost_v3_formpoints,2024-07-01,2025-07-01,,logreg,0.974493,0.530325,,,,,,,,1191,34.9286,-0.2197,-0.0421,3.4484,0,0
2026-04-27T10:48:46.990190+00:00,baseline_xgboost_v3_formpoints,2024-07-01,2025-07-01,,mlp,0.977783,0.525888,,,,,,,,1060,25.1887,1.2042,0.1857,4.375,0,1
2026-04-27T10:48:46.990190+00:00,baseline_xgboost_v3_formpoints,2024-07-01,2025-07-01,,ensemble,0.97051,0.54068,,,,,,,,0,0.0,0.0,0.0,0.0,0,0
2026-04-27T10:58:45.866301+00:00,baseline_xgboost_v3_formpoints,2024-07-01,2025-07-01,,base,0.993119,0.519231,,,,,,,,1015,26.8966,-8.8816,-1.8562,4.142,0,0
2026-04-27T10:58:45.866301+00:00,baseline_xgboost_v3_formpoints,2024-07-01,2025-07-01,,market,0.97051,0.54068,,,,,,,,0,0.0,0.0,0.0,0.0,1,0
2026-04-27T10:58:45.866301+00:00,baseline_xgboost_v3_formpoints,2024-07-01,2025-07-01,,meta,0.977252,0.529586,,,,,,,,982,28.4114,-4.0534,-0.6276,3.9037,0,0
2026-04-27T10:58:45.866301+00:00,baseline_xgboost_v3_formpoints,2024-07-01,2025-07-01,,logreg,0.974558,0.532544,,,,,,,,1192,34.8993,-0.6617,-0.128,3.4368,0,0
2026-04-27T10:58:45.866301+00:00,baseline_xgboost_v3_formpoints,2024-07-01,2025-07-01,,mlp,0.977779,0.528846,,,,,,,,1052,25.3802,1.1763,0.1773,4.375,0,1
