Date,HomeTeam,AwayTeam,FTHG,FTAG,PSCH,PSCD,PSCA
17/05/2026,Ath Bilbao,Celta,,,,,
17/05/2026,Ath Madrid,Girona,,,,,
17/05/2026,Barcelona,Betis,,,,,
17/05/2026,Elche,Getafe,,,,,
17/05/2026,Levante,Mallorca,,,,,
17/05/2026,Vallecano,Villarreal,,,,,
17/05/2026,Sociedad,Valencia,,,,,
17/05/2026,Oviedo,Alaves,,,,,
17/05/2026,Osasuna,Espanol,,,,,
17/05/2026,Sevilla,Real Madrid,,,,,
24/05/2026,Alaves,Vallecano,,,,,
24/05/2026,Betis,Levante,,,,,
24/05/2026,Celta,Sevilla,,,,,
24/05/2026,Espanol,Sociedad,,,,,
24/05/2026,Getafe,Osasuna,,,,,
24/05/2026,Mallorca,Oviedo,,,,,
24/05/2026,Real Madrid,Ath Bilbao,,,,,
24/05/2026,Villarreal,Ath Madrid,,,,,
24/05/2026,Valencia,Barcelona,,,,,
24/05/2026,Girona,Elche,,,,,
